CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="-47a"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x=".1a"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="0.35a"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="1e-10a"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+32a"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+17E-1a"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="17e+2a"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="-47e"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x=".1e"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="0.35e"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="1e-10e"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+32e"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+17E-1e"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="17e+2e"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="-47foo"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x=".1foo"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="0.35foo"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="1e-10foo"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+32foo"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+17E-1foo"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="17e+2foo"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="-47)90"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x=".1)90"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="0.35)90"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="1e-10)90"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+32)90"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+17E-1)90"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="17e+2)90"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="-47 em"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x=".1 em"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="0.35 em"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="1e-10 em"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+32 em"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+17E-1 em"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="17e+2 em"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="-47 ex"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x=".1 ex"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="0.35 ex"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="1e-10 ex"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+32 ex"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+17E-1 ex"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="17e+2 ex"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="-47 px"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x=".1 px"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="0.35 px"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="1e-10 px"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+32 px"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+17E-1 px"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="17e+2 px"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="-47 in"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x=".1 in"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="0.35 in"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="1e-10 in"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+32 in"
CONSOLE MESSAGE: Error: Invalid value for <svg> attribute x="+17E-1 in"
