This test runs the WebGL Test listed below in an iframe and reports PASS or FAIL.

Test: ../../resources/webgl_test_files/conformance2/attribs/gl-vertex-attrib.html
[ 1: PASS ] context exists
[ 2: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 3: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 4: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 5: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 6: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 7: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 8: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] is -1
[ 9: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 10: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 11: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 12: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 13: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 14: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 15: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 16: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 17: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 18: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 19: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 20: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 21: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 22: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 23: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 24: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 25: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 26: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 27: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 28: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 29: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] is -2
[ 30: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 31: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 32: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 33: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 34: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 35: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] is 3
[ 36: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 37: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 38: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] is 1
[ 39: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] is 2
[ 40: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] is -3
[ 41: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] is 4
[ 42: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 43: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] is 5
[ 44: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] is 0
[ 45: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 46: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 47: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 48: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
[ 49: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] is 7
[ 50: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] is 0
[ 51: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 52: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 53: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] is 7
[ 54: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[1] is 8
[ 55: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[2] is 9
[ 56: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[3] is 1
[ 57: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB) is an instance of Float32Array
[ 58: PASS ] gl.getVertexAttrib(0, gl.CURRENT_VERTEX_ATTRIB)[0] is 6
