monorail_uri,issue_tracker_url
https://crbug.com/webrtc/9501,https://issues.webrtc.org/issues/40009167
https://crbug.com/webrtc/10428,https://issues.webrtc.org/issues/40096319
https://crbug.com/webrtc/10922,https://issues.webrtc.org/issues/40096320
https://crbug.com/webrtc/11290,https://issues.webrtc.org/issues/40096321
https://crbug.com/webrtc/12497,https://issues.webrtc.org/issues/40096322
https://crbug.com/webrtc/14175,https://issues.webrtc.org/issues/40096323
https://crbug.com/webrtc/14419,https://issues.webrtc.org/issues/40096324
https://crbug.com/webrtc/14578,https://issues.webrtc.org/issues/40096325
https://crbug.com/webrtc/14605,https://issues.webrtc.org/issues/40096326
https://crbug.com/webrtc/4624,https://issues.webrtc.org/issues/40096327
https://crbug.com/webrtc/5305,https://issues.webrtc.org/issues/40096328
https://crbug.com/webrtc/10047,https://issues.webrtc.org/issues/40644296
https://crbug.com/webrtc/10083,https://issues.webrtc.org/issues/40644297
https://crbug.com/webrtc/10165,https://issues.webrtc.org/issues/40644298
https://crbug.com/webrtc/10188,https://issues.webrtc.org/issues/40644299
https://crbug.com/webrtc/10261,https://issues.webrtc.org/issues/40644300
https://crbug.com/webrtc/10277,https://issues.webrtc.org/issues/40644301
https://crbug.com/webrtc/10352,https://issues.webrtc.org/issues/40644302
https://crbug.com/webrtc/10358,https://issues.webrtc.org/issues/40644303
https://crbug.com/webrtc/10399,https://issues.webrtc.org/issues/40644304
https://crbug.com/webrtc/10419,https://issues.webrtc.org/issues/40644305
https://crbug.com/webrtc/10421,https://issues.webrtc.org/issues/40644306
https://crbug.com/webrtc/10422,https://issues.webrtc.org/issues/40644307
https://crbug.com/webrtc/10423,https://issues.webrtc.org/issues/40644308
https://crbug.com/webrtc/10507,https://issues.webrtc.org/issues/40644309
https://crbug.com/webrtc/1053,https://issues.webrtc.org/issues/40644310
https://crbug.com/webrtc/10753,https://issues.webrtc.org/issues/40644311
https://crbug.com/webrtc/10849,https://issues.webrtc.org/issues/40644312
https://crbug.com/webrtc/10944,https://issues.webrtc.org/issues/40644313
https://crbug.com/webrtc/10967,https://issues.webrtc.org/issues/40644314
https://crbug.com/webrtc/110,https://issues.webrtc.org/issues/40644315
https://crbug.com/webrtc/11008,https://issues.webrtc.org/issues/40644316
https://crbug.com/webrtc/11011,https://issues.webrtc.org/issues/40644317
https://crbug.com/webrtc/11019,https://issues.webrtc.org/issues/40644318
https://crbug.com/webrtc/11031,https://issues.webrtc.org/issues/40644319
https://crbug.com/webrtc/11057,https://issues.webrtc.org/issues/40644320
https://crbug.com/webrtc/11084,https://issues.webrtc.org/issues/40644321
https://crbug.com/webrtc/111,https://issues.webrtc.org/issues/40644322
